StellarType,MassMstar/Msun,LuminosityLstar/Lsun,RadiusRstar/Rsun,TempK,Color IndexB-V,Abs MagMv,Bolo CorrBC(Temp),Bolo MagMbol,Star ColorRGB 0-255
G3Ia0,11.5,703000.0,1180.0,4937.0,0.94,-9.4,-0.47,-9.87,255 231 203
G3Ia,7.2,147000.0,540.0,4937.0,0.94,-7.7,-0.47,-8.17,255 231 203
G3Ib,2.9,8460.0,130.0,4937.0,0.94,-4.6,-0.47,-5.07,255 231 203
G3II,2.4,1110.0,47.0,4937.0,0.94,-2.4,-0.47,-2.87,255 239 215
G3III,1.9,70.3,11.8,4937.0,0.94,0.6,-0.47,0.13,255 243 233
G3IV,1.5,6.04,2.63,5670.0,0.72,3.0,-0.2,2.8,255 238 226
G3V,1.0,1.15,1.15,5670.0,0.72,4.8,-0.2,4.6,255 243 236
G3VI,0.8,0.348,0.63,5670.0,0.72,6.1,-0.2,5.9,255 243 236
G4Ia0,12.0,813000.0,1420.0,4669.0,1.03,-9.4,-0.62,-10.02,255 231 193
G4Ia,7.5,170000.0,649.0,4669.0,1.03,-7.7,-0.62,-8.32,255 231 193
G4Ib,3.0,9770.0,156.0,4669.0,1.03,-4.6,-0.62,-5.22,255 231 193
G4II,2.5,1290.0,56.5,4669.0,1.03,-2.4,-0.62,-3.02,255 237 209
G4III,2.0,89.1,14.9,4669.0,1.03,0.5,-0.62,-0.12,255 243 233
G4IV,1.5,6.2,2.76,5560.0,0.75,3.0,-0.23,2.77,255 245 238
G4V,0.9,0.982,1.1,5560.0,0.75,5.0,-0.23,4.77,255 241 229
G4VI,0.8,0.297,0.605,5560.0,0.75,6.3,-0.23,6.07,255 241 229
G5Ia0,12.5,1070000.0,1840.0,4400.0,1.13,-9.5,-0.83,-10.33,255 230 183
G5Ia,7.8,186000.0,766.0,4400.0,1.13,-7.6,-0.83,-8.43,255 230 183
G5Ib,3.2,11800.0,192.0,4400.0,1.13,-4.6,-0.83,-5.43,255 230 183
G5II,2.6,1550.0,69.9,4400.0,1.13,-2.4,-0.83,-3.23,255 235 203
G5III,2.0,118.0,19.2,4400.0,1.13,0.4,-0.83,-0.43,255 236 211
G5IV,1.5,6.38,2.92,5450.0,0.79,3.0,-0.26,2.74,255 235 213
G5V,0.9,0.841,1.06,5450.0,0.79,5.2,-0.26,4.94,255 244 234
G5VI,0.8,0.254,0.583,5450.0,0.79,6.5,-0.26,6.24,255 244 234
G6Ia0,12.5,1120000.0,1930.0,4343.0,1.15,-9.5,-0.88,-10.38,255 227 178
G6Ia,7.9,195000.0,804.0,4343.0,1.15,-7.6,-0.88,-8.48,255 227 178
G6Ib,3.3,12300.0,202.0,4343.0,1.15,-4.6,-0.88,-5.48,255 227 178
G6II,2.7,1620.0,73.3,4343.0,1.15,-2.4,-0.88,-3.28,255 233 198
G6III,2.1,123.0,20.2,4343.0,1.15,0.4,-0.88,-0.48,255 236 215
G6IV,1.5,6.59,3.09,5340.0,0.82,3.0,-0.3,2.7,255 242 234
G6V,0.9,0.792,1.07,5340.0,0.82,5.3,-0.3,5.0,255 244 235
G6VI,0.8,0.218,0.562,5340.0,0.82,6.7,-0.3,6.4,255 244 235
G7Ia0,12.5,1180000.0,2030.0,4286.0,1.17,-9.5,-0.93,-10.43,255 223 172
G7Ia,8.0,205000.0,846.0,4286.0,1.17,-7.6,-0.93,-8.53,255 223 172
G7Ib,3.5,12900.0,212.0,4286.0,1.17,-4.6,-0.93,-5.53,255 223 172
G7II,2.8,1700.0,77.1,4286.0,1.17,-2.4,-0.93,-3.33,255 231 194
G7III,2.2,129.0,21.2,4286.0,1.17,0.4,-0.93,-0.53,255 234 207
G7IV,1.5,6.84,3.28,5230.0,0.85,3.0,-0.34,2.66,255 231 205
G7V,0.9,0.684,1.04,5230.0,0.85,5.5,-0.34,5.16,255 244 235
G7VI,0.7,0.206,0.57,5230.0,0.85,6.8,-0.34,6.46,255 244 235
G8Ia0,12.5,1130000.0,2040.0,4229.0,1.19,-9.4,-0.98,-10.38,255 220 167
G8Ia,8.1,196000.0,851.0,4229.0,1.19,-7.5,-0.98,-8.48,255 220 167
G8Ib,3.6,14900.0,234.0,4229.0,1.19,-4.7,-0.98,-5.68,255 220 167
G8II,2.9,1960.0,85.1,4229.0,1.19,-2.5,-0.98,-3.48,255 229 189
G8III,2.2,124.0,21.4,4229.0,1.19,0.5,-0.98,-0.48,255 231 199
G8IV,1.5,6.5,3.34,5120.0,0.89,3.1,-0.38,2.72,255 233 211
G8V,0.8,0.65,1.06,5120.0,0.89,5.6,-0.38,5.22,255 237 222
G8VI,0.7,0.179,0.554,5120.0,0.89,7.0,-0.38,6.62,255 237 222
G9Ia0,12.5,1190000.0,2160.0,4171.0,1.21,-9.4,-1.04,-10.44,255 221 174
G9Ia,8.1,207000.0,898.0,4171.0,1.21,-7.5,-1.04,-8.54,255 221 174
G9Ib,3.8,15700.0,247.0,4171.0,1.21,-4.7,-1.04,-5.74,255 221 174
G9II,3.0,2070.0,89.8,4171.0,1.21,-2.5,-1.04,-3.54,255 227 184
G9III,2.3,131.0,22.6,4171.0,1.21,0.5,-1.04,-0.54,255 231 196
G9IV,1.6,6.8,3.57,5010.0,0.92,3.1,-0.43,2.67,255 229 200
G9V,0.8,0.566,1.03,5010.0,0.92,5.8,-0.43,5.37,255 239 221
G9VI,0.7,0.171,0.566,5010.0,0.92,7.1,-0.43,6.67,255 239 221
K0Ia0,12.5,1260000.0,2280.0,4114.0,1.24,-9.4,-1.1,-10.5,255 221 181
K0Ia,8.2,219000.0,950.0,4114.0,1.24,-7.5,-1.1,-8.6,255 221 181
K0Ib,3.9,16600.0,262.0,4114.0,1.24,-4.7,-1.1,-5.8,255 221 181
K0II,3.1,2190.0,95.0,4114.0,1.24,-2.5,-1.1,-3.6,255 226 180
K0III,2.3,138.0,23.9,4114.0,1.24,0.5,-1.1,-0.6,255 227 190
K0IV,1.6,7.16,3.83,4900.0,0.96,3.1,-0.49,2.61,255 225 189
K0V,0.8,0.543,1.05,4900.0,0.96,5.9,-0.49,5.41,255 238 221
K0VI,0.7,0.15,0.553,4900.0,0.96,7.3,-0.49,6.81,255 238 221
